fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,14.0,8.0,67.0,17.0,1024.0,0.0,0.0,0.0,1,19.0,10.2,0.0,Buenos Aires,140.0,
2025-11-06 01:00:00,14.0,8.0,67.0,15.0,1023.0,0.0,0.0,0.0,1,19.0,10.6,0.0,Buenos Aires,140.0,
2025-11-06 02:00:00,14.0,8.0,67.0,11.0,1023.0,0.0,0.0,0.0,1,19.0,11.4,0.0,Buenos Aires,150.0,
2025-11-06 03:00:00,14.0,9.0,72.0,11.0,1022.0,0.0,0.0,0.0,1,19.0,11.7,0.0,Buenos Aires,140.0,
2025-11-06 04:00:00,13.0,9.1,77.0,13.0,1022.0,0.0,0.0,0.0,1,17.0,10.3,0.0,Buenos Aires,140.0,
2025-11-06 05:00:00,13.0,9.1,77.0,13.0,1021.0,0.0,0.0,0.0,1,17.0,10.3,0.0,Buenos Aires,130.0,
2025-11-06 06:00:00,14.0,8.0,67.0,15.0,1022.0,0.0,0.0,0.0,2,19.0,10.6,0.0,Buenos Aires,100.0,
2025-11-06 07:00:00,14.0,9.0,72.0,20.0,1022.0,0.0,0.0,0.0,2,19.0,9.9,0.6,Buenos Aires,100.0,
2025-11-06 08:00:00,15.0,8.9,67.0,20.0,1022.0,0.0,0.0,0.0,2,19.0,10.9,1.5,Buenos Aires,100.0,
2025-11-06 09:00:00,16.0,11.0,72.0,26.0,1021.0,0.0,0.0,0.0,3,19.0,11.3,2.4,Buenos Aires,100.0,
2025-11-06 10:00:00,17.0,11.0,68.0,22.0,1021.0,0.0,0.0,0.0,3,19.0,13.1,4.3,Buenos Aires,90.0,
2025-11-06 11:00:00,17.0,9.9,63.0,22.0,1021.0,0.0,0.0,0.0,2,22.0,12.7,8.3,Buenos Aires,100.0,
2025-11-06 12:00:00,17.0,9.9,63.0,22.0,1021.0,0.0,0.0,0.0,3,22.0,12.7,8.2,Buenos Aires,80.0,
2025-11-06 13:00:00,17.0,9.9,63.0,24.0,1020.0,0.0,0.0,0.0,3,22.0,12.4,8.7,Buenos Aires,100.0,
2025-11-06 14:00:00,17.0,11.0,68.0,24.0,1020.0,0.0,0.0,0.0,2,19.0,12.7,10.0,Buenos Aires,110.0,
2025-11-06 15:00:00,17.0,8.9,59.0,26.0,1018.0,0.2,0.0,0.0,17,5.8,11.7,5.0,Buenos Aires,120.0,
2025-11-06 16:00:00,16.0,9.0,63.0,26.0,1017.0,0.0,0.0,0.0,3,22.0,10.7,3.7,Buenos Aires,120.0,
2025-11-06 17:00:00,17.0,7.9,55.0,30.0,1016.0,0.0,0.0,0.0,3,22.0,10.7,2.0,Buenos Aires,130.0,
2025-11-06 18:00:00,17.0,8.9,59.0,28.0,1016.0,0.0,0.0,0.0,3,22.0,11.3,0.9,Buenos Aires,120.0,
2025-11-06 19:00:00,16.0,9.0,63.0,24.0,1016.0,0.0,0.0,0.0,2,22.0,11.1,0.4,Buenos Aires,120.0,
2025-11-06 20:00:00,15.0,10.0,72.0,30.0,1016.0,0.0,0.0,0.0,3,19.0,9.2,0.0,Buenos Aires,120.0,
2025-11-06 21:00:00,16.0,9.0,63.0,32.0,1016.0,0.0,0.0,0.0,2,22.0,9.5,0.0,Buenos Aires,120.0,
2025-11-06 22:00:00,16.0,10.1,68.0,35.0,1016.0,0.0,0.0,0.0,3,19.0,9.3,0.0,Buenos Aires,100.0,
2025-11-06 23:00:00,17.0,9.9,63.0,37.0,1016.0,0.0,0.0,0.0,3,17.0,9.8,0.0,Buenos Aires,100.0,
2025-11-07 00:00:00,17.0,11.0,68.0,33.0,1015.0,0.0,0.0,0.0,3,19.0,10.9,0.0,Buenos Aires,100.0,
2025-11-07 01:00:00,17.0,11.9,72.0,28.0,1015.0,0.0,0.0,0.0,3,19.0,12.1,0.0,Buenos Aires,90.0,
2025-11-07 02:00:00,17.0,9.9,63.0,26.0,1014.0,0.0,0.0,0.0,3,22.0,12.0,0.0,Buenos Aires,80.0,
2025-11-07 03:00:00,16.0,11.0,72.0,20.0,1014.0,0.0,0.0,0.0,3,19.0,12.4,0.0,Buenos Aires,70.0,
2025-11-07 04:00:00,16.0,11.0,72.0,28.0,1014.0,0.4,0.0,0.0,8,5.6,10.9,0.0,Buenos Aires,50.0,
2025-11-07 05:00:00,16.0,11.0,72.0,26.0,1014.0,0.1,0.0,0.0,7,5.9,11.3,0.0,Buenos Aires,60.0,
2025-11-07 06:00:00,16.0,11.0,72.0,17.0,1015.0,0.0,0.0,0.0,8,19.0,13.0,0.0,Buenos Aires,70.0,
2025-11-07 07:00:00,16.0,11.0,72.0,15.0,1015.0,0.5,0.0,0.0,8,5.5,13.4,0.3,Buenos Aires,90.0,
2025-11-07 08:00:00,16.0,11.0,72.0,19.0,1014.0,0.2,0.0,0.0,7,5.8,12.6,1.0,Buenos Aires,80.0,
2025-11-07 09:00:00,16.0,11.0,72.0,17.0,1014.0,0.0,0.0,0.0,3,19.0,13.0,2.4,Buenos Aires,90.0,
2025-11-07 10:00:00,16.0,12.0,77.0,20.0,1013.0,0.0,0.0,0.0,3,17.0,12.7,4.3,Buenos Aires,100.0,
2025-11-07 11:00:00,16.0,12.0,77.0,28.0,1014.0,0.0,0.0,0.0,3,17.0,11.2,6.5,Buenos Aires,100.0,
2025-11-07 12:00:00,16.0,12.9,82.0,22.0,1015.0,0.0,0.0,0.0,3,17.0,12.6,8.2,Buenos Aires,100.0,
2025-11-07 13:00:00,16.0,11.0,72.0,17.0,1014.0,0.0,0.0,0.0,8,19.0,13.0,6.9,Buenos Aires,100.0,
2025-11-07 14:00:00,15.0,12.0,82.0,6.0,1014.0,0.0,0.0,0.0,8,17.0,14.4,6.1,Buenos Aires,180.0,
