fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,24.0,11.0,44.0,22.0,1015.0,0.0,0.0,0.0,2,22.0,20.0,0.0,Catamarca,50.0,38.9
2025-11-06 01:00:00,24.0,9.9,41.0,26.0,1014.0,0.0,0.0,0.0,2,22.0,19.0,0.0,Catamarca,40.0,40.8
2025-11-06 02:00:00,24.0,9.9,41.0,28.0,1013.0,0.0,0.0,0.0,2,22.0,18.6,0.0,Catamarca,50.0,40.8
2025-11-06 03:00:00,22.0,10.2,47.0,15.0,1013.0,0.0,0.0,0.0,2,22.0,19.2,0.0,Catamarca,60.0,44.5
2025-11-06 04:00:00,23.0,11.1,47.0,32.0,1012.0,0.0,0.0,0.0,2,22.0,17.1,0.0,Catamarca,30.0,46.3
2025-11-06 05:00:00,22.0,12.0,53.0,30.0,1011.0,0.0,0.0,0.0,2,22.0,16.8,0.0,Catamarca,20.0,46.3
2025-11-06 06:00:00,22.0,12.0,53.0,37.0,1011.0,0.0,0.0,0.0,2,17.0,15.4,0.0,Catamarca,20.0,46.3
2025-11-06 07:00:00,22.0,12.0,53.0,32.0,1011.0,0.0,0.0,0.0,2,22.0,16.4,0.6,Catamarca,20.0,27.0
2025-11-06 08:00:00,22.0,13.1,57.0,39.0,1011.0,0.0,0.0,0.0,2,17.0,15.4,1.5,Catamarca,30.0,48.2
2025-11-06 09:00:00,23.0,14.0,57.0,46.0,1011.0,0.0,0.0,0.0,2,17.0,15.3,3.1,Catamarca,50.0,35.0
2025-11-06 10:00:00,24.0,14.1,54.0,41.0,1010.0,0.0,0.0,0.0,2,17.0,17.3,5.5,Catamarca,50.0,33.0
2025-11-06 11:00:00,24.0,14.1,54.0,57.0,1009.0,0.0,0.0,0.0,2,17.0,14.2,8.3,Catamarca,50.0,45.0
2025-11-06 12:00:00,25.0,14.1,51.0,56.0,1007.0,0.0,0.0,0.0,2,17.0,15.4,10.6,Catamarca,50.0,40.0
2025-11-06 13:00:00,24.0,14.1,54.0,52.0,1006.0,0.0,0.0,0.0,2,17.0,15.2,11.2,Catamarca,20.0,41.0
2025-11-06 14:00:00,25.0,14.1,51.0,52.0,1005.0,0.0,0.0,0.0,2,17.0,16.2,10.0,Catamarca,20.0,40.0
2025-11-06 15:00:00,26.0,14.1,48.0,52.0,1003.0,0.0,0.0,0.0,2,17.0,17.2,7.6,Catamarca,50.0,38.0
2025-11-06 16:00:00,25.0,14.1,51.0,50.0,1002.0,0.0,0.0,0.0,2,17.0,16.6,4.8,Catamarca,20.0,39.0
2025-11-06 17:00:00,26.0,14.1,48.0,43.0,1001.0,0.0,0.0,0.0,2,17.0,19.0,2.5,Catamarca,20.0,33.0
2025-11-06 18:00:00,24.0,14.9,57.0,33.0,1001.0,0.0,0.0,0.0,2,22.0,19.2,1.1,Catamarca,20.0,51.8
2025-11-06 19:00:00,23.0,14.0,57.0,30.0,1002.0,0.0,0.0,0.0,2,22.0,18.4,0.4,Catamarca,20.0,50.0
2025-11-06 20:00:00,22.0,14.1,61.0,28.0,1003.0,0.0,0.0,0.0,2,22.0,17.9,0.0,Catamarca,20.0,51.8
