fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,18.0,11.1,64.0,11.9,1021.1,0.0,0.0,0.0,3,22.0,16.0,0.0,Córdoba,60.0,
2025-11-06 01:00:00,17.5,11.3,67.0,10.1,1020.2,0.0,0.0,0.0,2,19.0,15.9,0.0,Córdoba,44.0,
2025-11-06 02:00:00,16.9,11.4,70.0,7.9,1019.4,0.0,0.0,0.0,3,19.0,15.8,0.0,Córdoba,32.0,
2025-11-06 03:00:00,16.5,11.6,73.0,9.0,1018.3,0.0,0.0,0.0,3,19.0,15.3,0.0,Córdoba,26.0,
2025-11-06 04:00:00,15.6,11.0,74.0,8.6,1017.8,0.0,0.0,0.0,2,19.0,14.2,0.0,Córdoba,30.0,
2025-11-06 05:00:00,14.2,11.2,82.0,6.8,1017.2,0.0,0.0,0.0,2,17.0,13.3,0.0,Córdoba,12.0,
2025-11-06 06:00:00,14.6,11.2,80.0,7.2,1016.8,0.0,0.0,0.0,3,17.0,13.6,0.0,Córdoba,10.0,
2025-11-06 07:00:00,15.1,11.1,77.0,10.1,1016.5,0.0,0.0,0.0,3,17.0,13.5,0.4,Córdoba,40.0,
2025-11-06 08:00:00,15.9,10.2,69.0,13.3,1016.5,0.0,0.0,0.0,3,19.0,13.4,1.1,Córdoba,38.0,
2025-11-06 09:00:00,17.3,10.2,63.0,18.7,1016.0,0.0,0.0,0.0,3,22.0,13.8,2.4,Córdoba,32.0,
2025-11-06 10:00:00,17.7,10.6,63.0,21.6,1015.5,0.0,0.0,0.0,3,22.0,13.7,4.3,Córdoba,27.0,
2025-11-06 11:00:00,18.1,10.7,62.0,21.6,1014.7,0.0,0.0,0.0,3,22.0,14.1,6.5,Córdoba,29.0,
2025-11-06 12:00:00,18.9,10.7,59.0,22.3,1013.9,0.0,0.0,0.0,3,22.0,14.8,8.2,Córdoba,30.0,
2025-11-06 13:00:00,20.1,9.9,52.0,22.3,1012.4,0.0,0.0,0.0,3,22.0,15.8,8.7,Córdoba,39.0,
2025-11-06 14:00:00,19.9,9.7,52.0,19.8,1011.5,0.0,0.0,0.0,3,22.0,16.0,7.8,Córdoba,50.0,
2025-11-06 15:00:00,19.6,9.8,53.0,20.2,1010.3,0.0,0.0,0.0,3,22.0,15.7,5.9,Córdoba,57.0,
2025-11-06 16:00:00,18.2,10.1,59.0,18.0,1009.7,0.1,0.0,0.0,7,5.9,14.8,3.4,Córdoba,62.0,
2025-11-06 17:00:00,17.5,11.1,66.0,16.2,1009.2,0.3,0.0,0.0,8,5.7,14.7,1.6,Córdoba,67.0,
2025-11-06 18:00:00,17.1,11.8,71.0,13.0,1008.9,0.3,0.0,0.0,8,5.7,15.1,0.7,Córdoba,73.0,
2025-11-06 19:00:00,16.6,12.5,77.0,8.3,1009.0,0.2,0.0,0.0,7,5.8,15.8,0.3,Córdoba,41.0,
2025-11-06 20:00:00,16.1,13.0,82.0,4.7,1008.9,0.2,0.0,0.0,7,5.8,16.1,0.0,Córdoba,345.0,
2025-11-06 21:00:00,15.6,13.6,88.0,3.6,1009.7,0.3,0.0,0.0,8,5.7,16.0,0.0,Córdoba,342.0,
2025-11-06 22:00:00,15.6,13.6,88.0,7.2,1010.3,0.3,0.0,0.0,8,5.7,15.3,0.0,Córdoba,78.0,
2025-11-06 23:00:00,15.3,13.8,91.0,6.8,1010.6,0.5,0.0,0.0,8,5.5,15.2,0.0,Córdoba,106.0,
2025-11-07 00:00:00,15.2,13.9,92.0,10.1,1010.4,0.6,0.0,0.0,8,5.4,14.5,0.0,Córdoba,70.0,
2025-11-07 01:00:00,14.5,13.2,92.0,11.5,1009.9,0.4,0.0,0.0,8,5.6,13.3,0.0,Córdoba,52.0,
2025-11-07 02:00:00,14.2,12.9,92.0,9.0,1009.3,0.5,0.0,0.0,8,5.5,13.4,0.0,Córdoba,33.0,
2025-11-07 03:00:00,14.1,13.0,93.0,9.4,1008.5,0.4,0.0,0.0,8,5.6,13.2,0.0,Córdoba,55.0,
2025-11-07 04:00:00,13.7,12.6,93.0,14.8,1008.3,0.2,0.0,0.0,7,5.8,11.6,0.0,Córdoba,75.0,
2025-11-07 05:00:00,13.8,12.9,94.0,10.1,1008.1,0.2,0.0,0.0,7,5.8,12.7,0.0,Córdoba,58.0,
2025-11-07 06:00:00,13.3,12.7,96.0,12.2,1008.3,0.6,0.0,0.0,8,5.4,11.8,0.0,Córdoba,61.0,
2025-11-07 07:00:00,13.3,12.8,97.0,12.6,1009.4,0.3,0.0,0.0,8,5.7,11.7,0.3,Córdoba,60.0,
2025-11-07 08:00:00,13.5,12.6,94.0,13.0,1009.8,0.4,0.0,0.0,8,5.6,11.8,0.9,Córdoba,62.0,
2025-11-07 09:00:00,13.9,12.9,94.0,13.3,1010.7,1.2,0.0,0.0,9,4.8,12.2,1.7,Córdoba,59.0,
2025-11-07 10:00:00,13.7,12.8,94.0,14.0,1010.7,2.3,0.0,0.0,9,3.7,11.8,3.1,Córdoba,106.0,
2025-11-07 11:00:00,13.3,12.5,95.0,22.7,1011.7,4.7,0.0,0.0,9,1.3,9.7,4.6,Córdoba,170.0,
2025-11-07 12:00:00,12.7,11.6,93.0,30.2,1013.4,7.0,0.0,0.0,9,0.3,7.3,5.9,Córdoba,195.0,
2025-11-07 13:00:00,12.2,11.1,93.0,27.0,1015.0,4.0,0.0,0.0,9,2.0,7.3,6.2,Córdoba,187.0,
2025-11-07 14:00:00,12.8,10.7,87.0,22.3,1015.0,1.7,0.0,0.0,9,4.3,8.7,5.6,Córdoba,184.0,
2025-11-07 15:00:00,13.6,10.0,79.0,25.6,1014.9,0.1,0.0,0.0,17,5.9,8.7,5.0,Córdoba,174.0,
2025-11-07 16:00:00,15.4,8.9,65.0,24.1,1014.2,0.0,0.0,0.0,3,22.0,10.5,3.7,Córdoba,182.0,
2025-11-07 17:00:00,16.4,7.9,57.0,23.0,1013.8,0.0,0.0,0.0,3,22.0,11.4,2.0,Córdoba,178.0,
2025-11-07 18:00:00,16.0,8.0,59.0,20.2,1014.2,0.0,0.0,0.0,3,22.0,11.6,0.9,Córdoba,171.0,
2025-11-07 19:00:00,15.3,7.8,61.0,17.6,1014.9,0.0,0.0,0.0,2,22.0,11.4,0.4,Córdoba,172.0,
2025-11-07 20:00:00,14.4,8.1,66.0,18.0,1016.1,0.0,0.0,0.0,3,19.0,10.5,0.0,Córdoba,166.0,
2025-11-07 21:00:00,13.3,8.2,71.0,14.8,1017.4,0.0,0.0,0.0,2,19.0,10.0,0.0,Córdoba,170.0,
2025-11-07 22:00:00,12.3,8.8,79.0,11.9,1018.5,0.0,0.0,0.0,2,17.0,9.7,0.0,Córdoba,171.0,
2025-11-07 23:00:00,11.2,8.9,86.0,10.1,1019.4,0.0,0.0,0.0,3,2.0,9.0,0.0,Córdoba,186.0,
2025-11-08 00:00:00,11.0,9.1,88.0,9.7,1019.8,0.0,0.0,0.0,3,0.8,8.9,0.0,Córdoba,188.0,
2025-11-08 01:00:00,9.5,8.3,92.0,5.4,1019.6,0.0,0.0,0.0,2,0.8,9.1,0.0,Córdoba,199.0,
2025-11-08 02:00:00,8.9,7.8,93.0,4.3,1019.2,0.0,0.0,0.0,1,0.8,7.6,0.0,Córdoba,240.0,
2025-11-08 03:00:00,8.4,7.5,94.0,5.4,1018.8,0.0,0.0,0.0,1,0.4,7.8,0.0,Córdoba,260.0,
2025-11-08 04:00:00,7.8,7.2,96.0,5.4,1018.6,0.0,0.0,0.0,1,0.4,7.1,0.0,Córdoba,259.0,
2025-11-08 05:00:00,7.3,6.7,96.0,4.3,1018.6,0.0,0.0,0.0,1,0.4,5.7,0.0,Córdoba,260.0,
2025-11-08 06:00:00,7.4,7.1,98.0,2.9,1018.7,0.0,0.0,0.0,1,0.2,6.2,0.0,Córdoba,266.0,
2025-11-08 07:00:00,8.3,7.7,96.0,4.7,1019.3,0.0,0.0,0.0,5,0.4,6.9,0.2,Córdoba,268.0,
