fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,19.8,16.2,80.0,14.4,1017.0,0.0,0.0,0.0,1,17.0,19.1,0.0,Formosa,158.0,
2025-11-06 01:00:00,19.3,16.0,81.0,15.8,1016.4,0.0,0.0,0.0,1,17.0,18.2,0.0,Formosa,149.0,
2025-11-06 02:00:00,18.9,15.2,79.0,15.1,1015.9,0.0,0.0,0.0,1,17.0,17.6,0.0,Formosa,139.0,
2025-11-06 03:00:00,18.5,14.6,78.0,14.8,1015.5,0.0,0.0,0.0,1,17.0,17.1,0.0,Formosa,130.0,
2025-11-06 04:00:00,18.1,13.8,76.0,13.7,1015.1,0.0,0.0,0.0,1,17.0,16.6,0.0,Formosa,132.0,
2025-11-06 05:00:00,17.6,13.3,76.0,14.0,1015.1,0.0,0.0,0.0,1,17.0,15.9,0.0,Formosa,130.0,
2025-11-06 06:00:00,17.1,13.2,78.0,14.4,1015.1,0.0,0.0,0.0,1,17.0,15.3,0.0,Formosa,123.0,
2025-11-06 07:00:00,19.0,18.0,94.0,11.0,1014.0,0.0,0.0,0.0,1,0.8,19.7,0.6,Formosa,140.0,
2025-11-06 08:00:00,21.0,18.0,83.0,15.0,1016.0,0.0,0.0,0.0,1,17.0,20.9,1.6,Formosa,140.0,
2025-11-06 09:00:00,22.0,16.9,73.0,19.0,1015.0,0.0,0.0,0.0,1,19.0,20.7,3.4,Formosa,140.0,
2025-11-06 10:00:00,22.8,16.3,67.0,15.5,1015.0,0.0,0.0,0.0,1,19.0,21.9,6.2,Formosa,102.0,
2025-11-06 11:00:00,25.0,16.9,61.0,11.0,1015.0,0.0,0.0,0.0,1,22.0,25.2,9.3,Formosa,90.0,
2025-11-06 12:00:00,25.0,18.9,69.0,11.0,1014.0,0.0,0.0,0.0,2,19.0,26.1,10.6,Formosa,90.0,
2025-11-06 13:00:00,26.8,17.0,55.0,13.7,1012.2,0.0,0.0,0.0,1,22.0,26.5,12.5,Formosa,89.0,
2025-11-06 14:00:00,27.9,17.4,53.0,13.3,1010.5,0.0,0.0,0.0,2,22.0,28.6,10.0,Formosa,86.0,
2025-11-06 15:00:00,28.1,17.0,51.0,12.6,1008.7,0.0,0.0,0.0,2,22.0,28.7,7.6,Formosa,93.0,
2025-11-06 16:00:00,28.2,16.8,50.0,13.7,1007.2,0.0,0.0,0.0,2,22.0,28.7,4.8,Formosa,98.0,
2025-11-06 17:00:00,27.9,16.5,50.0,14.4,1006.3,0.0,0.0,0.0,1,22.0,28.3,2.8,Formosa,99.0,
2025-11-06 18:00:00,26.7,17.7,58.0,13.0,1005.9,0.0,0.0,0.0,1,22.0,26.9,1.3,Formosa,100.0,
2025-11-06 19:00:00,24.9,17.6,64.0,13.3,1005.5,0.0,0.0,0.0,1,22.0,24.9,0.5,Formosa,93.0,
2025-11-06 20:00:00,23.5,17.7,70.0,15.5,1005.5,0.0,0.0,0.0,1,19.0,23.2,0.0,Formosa,110.0,
2025-11-06 21:00:00,23.0,20.0,83.0,7.0,1006.0,0.0,0.0,0.0,1,17.0,25.3,0.0,Formosa,140.0,
2025-11-06 22:00:00,22.2,16.0,68.0,14.8,1006.2,0.0,0.0,0.0,1,19.0,21.3,0.0,Formosa,113.0,
2025-11-06 23:00:00,21.9,15.3,66.0,15.8,1005.9,0.0,0.0,0.0,2,19.0,20.5,0.0,Formosa,120.0,
2025-11-07 00:00:00,21.7,15.1,66.0,14.8,1005.7,0.0,0.0,0.0,3,19.0,20.5,0.0,Formosa,114.0,
2025-11-07 01:00:00,21.5,14.9,66.0,14.4,1004.8,0.0,0.0,0.0,3,19.0,20.3,0.0,Formosa,112.0,
2025-11-07 02:00:00,20.9,15.2,70.0,11.2,1004.1,0.1,0.0,0.0,7,5.9,20.4,0.0,Formosa,124.0,
2025-11-07 03:00:00,20.4,15.6,74.0,19.4,1002.2,0.2,0.0,0.0,7,5.8,18.5,0.0,Formosa,93.0,
2025-11-07 04:00:00,19.9,16.1,79.0,18.7,1000.8,0.8,0.0,0.0,17,5.2,18.3,0.0,Formosa,75.0,
2025-11-07 05:00:00,21.5,16.4,73.0,16.9,1000.5,0.0,0.0,0.0,3,19.0,20.4,0.0,Formosa,45.0,
2025-11-07 06:00:00,22.0,19.9,88.0,9.0,1000.0,0.0,0.0,0.0,3,2.0,23.9,0.0,Formosa,50.0,
2025-11-07 07:00:00,23.0,20.0,83.0,15.0,1000.0,0.0,0.0,0.0,2,17.0,23.8,0.6,Formosa,360.0,
2025-11-07 08:00:00,24.0,20.9,83.0,15.0,1000.0,0.0,0.0,0.0,3,17.0,25.2,1.1,Formosa,360.0,
2025-11-07 09:00:00,23.0,22.0,94.0,15.0,1000.0,0.0,0.0,0.0,25,0.8,24.8,2.1,Formosa,360.0,
2025-11-07 10:00:00,25.0,22.1,84.0,11.0,1000.0,4.2,0.0,0.0,25,1.8,27.6,3.7,Formosa,360.0,
2025-11-07 11:00:00,24.0,23.0,94.0,11.0,1001.0,14.8,0.0,0.0,9,0.3,27.1,4.6,Formosa,230.0,
2025-11-07 12:00:00,22.0,19.9,88.0,10.0,1001.0,0.9,0.0,0.0,8,5.1,23.7,6.4,Formosa,230.0,
2025-11-07 13:00:00,20.4,19.1,92.0,20.2,1002.7,2.5,0.0,0.0,9,3.5,19.7,6.2,Formosa,200.0,
2025-11-07 14:00:00,20.7,17.7,83.0,19.8,1003.0,1.5,0.0,0.0,9,4.5,19.5,5.6,Formosa,204.0,
2025-11-07 15:00:00,21.6,17.0,75.0,24.5,1003.3,0.0,0.0,0.0,3,19.0,19.2,5.9,Formosa,219.0,
2025-11-07 16:00:00,21.1,15.8,72.0,25.2,1003.7,0.0,0.0,0.0,3,19.0,18.1,3.7,Formosa,214.0,
2025-11-07 17:00:00,20.4,15.0,71.0,25.9,1004.3,0.0,0.0,0.0,3,19.0,17.0,2.0,Formosa,208.0,
2025-11-07 18:00:00,19.0,16.0,83.0,19.0,1005.0,0.0,0.0,0.0,3,17.0,17.3,0.9,Formosa,230.0,
2025-11-07 19:00:00,19.4,14.4,73.0,18.7,1006.0,0.0,0.0,0.0,3,19.0,17.2,0.3,Formosa,207.0,
2025-11-07 20:00:00,19.7,14.5,72.0,20.2,1007.3,0.0,0.0,0.0,1,19.0,17.2,0.0,Formosa,200.0,
2025-11-07 21:00:00,17.0,16.0,94.0,19.0,1009.0,0.0,0.0,0.0,3,0.8,15.3,0.0,Formosa,230.0,
2025-11-07 22:00:00,18.4,13.5,73.0,15.8,1009.4,0.0,0.0,0.0,1,19.0,16.4,0.0,Formosa,192.0,
2025-11-07 23:00:00,18.1,13.4,74.0,12.2,1010.4,0.0,0.0,0.0,2,19.0,16.8,0.0,Formosa,200.0,
2025-11-08 00:00:00,18.2,13.7,75.0,10.8,1012.1,0.0,0.0,0.0,3,19.0,17.3,0.0,Formosa,202.0,
2025-11-08 01:00:00,16.1,13.4,84.0,12.6,1012.8,0.0,0.0,0.0,3,2.0,14.7,0.0,Formosa,224.0,
2025-11-08 02:00:00,15.8,12.9,83.0,15.8,1012.7,0.0,0.0,0.0,2,2.0,13.6,0.0,Formosa,216.0,
2025-11-08 03:00:00,15.1,12.8,86.0,17.6,1012.5,0.0,0.0,0.0,1,2.0,12.5,0.0,Formosa,210.0,
2025-11-08 04:00:00,14.6,12.5,87.0,18.7,1012.5,0.0,0.0,0.0,1,2.0,11.7,0.0,Formosa,203.0,
2025-11-08 05:00:00,14.5,11.8,84.0,19.8,1012.6,0.0,0.0,0.0,2,2.0,11.2,0.0,Formosa,198.0,
2025-11-08 06:00:00,14.0,13.0,94.0,11.0,1013.0,0.0,0.0,0.0,3,0.8,12.8,0.0,Formosa,230.0,
2025-11-08 07:00:00,14.0,12.0,88.0,15.0,1014.0,0.0,0.0,0.0,3,2.0,11.7,0.4,Formosa,230.0,
2025-11-08 08:00:00,15.0,13.0,88.0,19.0,1015.0,0.0,0.0,0.0,3,2.0,12.2,1.1,Formosa,180.0,
2025-11-08 09:00:00,15.0,13.0,88.0,19.0,1015.0,0.1,0.0,0.0,7,5.9,12.2,2.2,Formosa,230.0,
2025-11-08 10:00:00,16.0,15.0,94.0,10.0,1016.0,0.2,0.0,0.0,7,5.8,15.7,4.0,Formosa,230.0,
2025-11-08 11:00:00,16.0,15.0,94.0,15.0,1017.0,0.0,0.0,0.0,3,0.8,14.7,6.5,Formosa,230.0,
2025-11-08 12:00:00,17.0,14.1,83.0,11.0,1016.0,0.0,0.0,0.0,3,2.0,16.2,8.2,Formosa,230.0,
