fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,21.0,8.9,46.0,17.0,1015.0,0.0,0.0,0.0,3,22.0,17.5,0.0,Mendoza,180.0,20.4
2025-11-06 01:00:00,20.0,9.0,49.0,19.0,1014.0,0.0,0.0,0.0,3,22.0,16.1,0.0,Mendoza,180.0,20.4
2025-11-06 02:00:00,19.0,8.9,52.0,13.0,1013.0,0.0,0.0,0.0,3,22.0,16.2,0.0,Mendoza,180.0,20.4
2025-11-06 03:00:00,19.0,8.9,52.0,9.0,1013.0,0.0,0.0,0.0,3,22.0,17.0,0.0,Mendoza,180.0,20.4
2025-11-06 04:00:00,18.0,11.1,64.0,13.0,1011.0,0.0,0.0,0.0,3,22.0,15.8,0.0,Mendoza,180.0,18.5
2025-11-06 05:00:00,17.0,11.0,68.0,13.0,1011.0,0.0,0.0,0.0,3,19.0,14.8,0.0,Mendoza,140.0,16.7
2025-11-06 06:00:00,16.0,12.0,77.0,0.0,1011.0,0.0,0.0,0.0,3,17.0,16.6,0.0,Mendoza,0.0,16.7
2025-11-06 07:00:00,16.0,12.0,77.0,13.0,1011.0,0.0,0.0,0.0,3,17.0,14.1,0.4,Mendoza,180.0,16.7
2025-11-06 08:00:00,17.0,11.9,72.0,13.0,1011.0,0.0,0.0,0.0,3,19.0,15.1,1.1,Mendoza,180.0,16.7
2025-11-06 09:00:00,18.0,12.0,68.0,19.0,1011.0,0.0,0.0,0.0,3,19.0,14.9,2.4,Mendoza,160.0,20.4
2025-11-06 10:00:00,20.0,12.0,60.0,17.0,1010.0,0.0,0.0,0.0,3,22.0,17.3,4.3,Mendoza,140.0,20.4
2025-11-06 11:00:00,21.0,11.9,56.0,20.0,1009.0,0.0,0.0,0.0,3,22.0,17.7,6.5,Mendoza,140.0,22.2
2025-11-06 12:00:00,21.0,11.0,53.0,20.0,1009.0,0.0,0.0,0.0,3,22.0,17.5,8.2,Mendoza,140.0,24.1
2025-11-06 13:00:00,21.0,11.9,56.0,22.0,1008.0,0.0,0.0,0.0,3,22.0,17.3,8.7,Mendoza,180.0,27.8
2025-11-06 14:00:00,21.0,11.9,56.0,22.0,1007.0,0.0,0.0,0.0,18,22.0,17.3,6.7,Mendoza,180.0,25.9
2025-11-06 15:00:00,21.0,11.0,53.0,19.0,1006.0,0.5,0.0,0.0,25,5.5,17.6,5.0,Mendoza,180.0,25.9
2025-11-06 16:00:00,21.0,11.0,53.0,20.0,1006.0,0.4,0.0,0.0,25,5.6,17.5,3.2,Mendoza,170.0,27.8
2025-11-06 17:00:00,21.0,11.0,53.0,28.0,1005.0,0.4,0.0,0.0,25,5.6,15.9,1.7,Mendoza,170.0,27.8
2025-11-06 18:00:00,20.0,12.0,60.0,30.0,1006.0,1.2,0.0,0.0,25,4.8,14.8,0.8,Mendoza,180.0,29.0
2025-11-06 19:00:00,18.0,10.1,60.0,33.0,1008.0,1.7,0.0,0.0,25,4.3,11.7,0.3,Mendoza,180.0,28.0
2025-11-06 20:00:00,17.0,8.9,59.0,32.0,1009.0,0.6,0.0,0.0,25,5.4,10.5,0.0,Mendoza,180.0,29.0
2025-11-06 21:00:00,16.0,10.1,68.0,22.0,1011.0,0.2,0.0,0.0,25,5.8,11.8,0.0,Mendoza,180.0,31.5
2025-11-06 22:00:00,16.0,9.0,63.0,26.0,1013.0,0.6,0.0,0.0,25,5.4,10.7,0.0,Mendoza,160.0,24.0
2025-11-06 23:00:00,13.0,11.1,88.0,22.0,1016.0,6.3,0.0,0.0,25,0.3,9.1,0.0,Mendoza,160.0,29.6
2025-11-07 00:00:00,12.0,11.1,94.0,17.0,1016.0,2.2,0.0,0.0,25,3.8,9.0,0.0,Mendoza,180.0,29.6
2025-11-07 01:00:00,12.0,10.1,88.0,11.0,1017.0,3.7,0.0,0.0,25,2.3,9.9,0.0,Mendoza,200.0,25.9
2025-11-07 02:00:00,11.0,10.1,94.0,17.0,1017.0,1.2,0.0,0.0,25,4.8,7.8,0.0,Mendoza,200.0,25.9
2025-11-07 03:00:00,11.0,9.1,88.0,22.0,1016.0,1.3,0.0,0.0,25,4.7,6.5,0.0,Mendoza,200.0,22.2
2025-11-07 04:00:00,12.0,8.1,77.0,15.0,1016.0,2.0,0.0,0.0,8,4.0,8.6,0.0,Mendoza,180.0,20.4
