fecha_hora,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,province,visibilidad,sensacionTermica,uvIndex
2025-11-05 00:00:00,11.8,4.0,59.0,0.0,0.0,85.0,18.0,,1025.5,0.0,1,Río Negro,20.0,7.0,0.8
2025-11-05 01:00:00,11.4,4.1,61.0,0.0,0.0,59.0,11.9,,1025.6,0.0,1,Río Negro,20.0,7.8,0.8
2025-11-05 02:00:00,10.8,3.8,62.0,0.0,0.0,344.0,9.0,,1025.4,0.0,1,Río Negro,20.0,7.7,0.8
2025-11-05 03:00:00,10.0,4.8,70.0,0.0,0.0,292.0,8.6,,1025.0,0.0,1,Río Negro,20.0,8.9,0.8
2025-11-05 04:00:00,9.4,5.8,78.0,0.0,0.0,280.0,7.6,,1024.7,0.0,1,Río Negro,20.0,8.4,0.8
2025-11-05 05:00:00,9.3,6.2,81.0,0.0,0.0,253.0,4.3,,1024.5,0.0,1,Río Negro,20.0,7.6,0.8
2025-11-05 06:00:00,9.0,5.9,81.0,0.0,0.0,321.0,6.1,,1024.6,0.0,1,Río Negro,20.0,8.3,0.8
2025-11-05 07:00:00,8.7,5.1,78.0,0.0,0.0,309.0,9.4,,1025.2,0.0,1,Río Negro,20.0,7.2,0.8
2025-11-05 08:00:00,10.7,3.3,60.0,0.0,0.0,321.0,11.5,,1025.8,0.0,1,Río Negro,20.0,7.0,3.2
2025-11-05 09:00:00,12.9,1.6,46.0,0.0,0.0,334.0,12.2,,1025.8,0.0,1,Río Negro,20.0,8.8,3.2
2025-11-05 10:00:00,14.9,1.8,41.0,0.0,0.0,339.0,13.0,,1025.4,0.0,1,Río Negro,20.0,10.7,6.4
2025-11-05 11:00:00,16.8,2.4,38.0,0.0,0.0,354.0,13.3,,1024.8,0.0,1,Río Negro,20.0,12.6,6.4
2025-11-05 12:00:00,18.3,2.6,35.0,0.0,0.0,359.0,15.8,,1024.2,0.0,1,Río Negro,20.0,13.7,6.4
