fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,10.7,5.5,70.0,10.4,1016.8,0.0,0.0,0.0,3,19.0,7.6,0.0,San Juan,107.0,
2025-11-06 01:00:00,10.2,5.8,74.0,13.3,1016.0,0.0,0.0,0.0,3,19.0,6.6,0.0,San Juan,106.0,
2025-11-06 02:00:00,9.6,5.6,76.0,13.3,1014.4,0.0,0.0,0.0,3,17.0,7.6,0.0,San Juan,107.0,
2025-11-06 03:00:00,9.5,4.9,73.0,14.0,1013.1,0.0,0.0,0.0,3,19.0,7.4,0.0,San Juan,105.0,
2025-11-06 04:00:00,8.9,3.7,70.0,11.5,1011.7,0.0,0.0,0.0,3,19.0,7.1,0.0,San Juan,103.0,
2025-11-06 05:00:00,7.9,3.4,73.0,9.7,1011.3,0.0,0.0,0.0,3,19.0,6.2,0.0,San Juan,100.0,
2025-11-06 06:00:00,7.3,2.8,73.0,9.7,1011.1,0.0,0.0,0.0,3,19.0,5.5,0.0,San Juan,100.0,
2025-11-06 07:00:00,7.4,2.5,71.0,6.1,1011.0,0.0,0.0,0.0,3,19.0,6.5,0.4,San Juan,100.0,
2025-11-06 08:00:00,10.9,2.5,56.0,9.7,1010.9,0.0,0.0,0.0,3,22.0,7.4,1.1,San Juan,97.0,
2025-11-06 09:00:00,13.4,0.7,42.0,11.5,1009.9,0.0,0.0,0.0,2,22.0,9.3,3.1,San Juan,89.0,
2025-11-06 10:00:00,15.5,-0.7,33.0,14.0,1008.4,0.0,0.0,0.0,2,22.0,10.7,5.5,San Juan,62.0,
2025-11-06 11:00:00,18.1,-2.8,24.0,20.2,1006.0,0.0,0.0,0.0,2,22.0,11.8,8.3,San Juan,302.0,
2025-11-06 12:00:00,21.9,-6.8,14.0,31.3,1003.5,0.0,0.0,0.0,2,22.0,13.0,10.6,San Juan,298.0,
2025-11-06 13:00:00,24.1,-12.2,8.0,37.8,1001.2,0.0,0.0,0.0,3,17.0,13.5,8.7,San Juan,325.0,
2025-11-06 14:00:00,22.9,-14.7,7.0,32.0,1001.4,0.0,0.0,0.0,2,22.0,13.3,10.0,San Juan,331.0,
2025-11-06 15:00:00,23.6,-18.2,5.0,33.5,1000.2,0.0,0.0,0.0,1,22.0,13.6,8.4,San Juan,318.0,
2025-11-06 16:00:00,23.1,-18.6,5.0,37.4,1000.2,0.0,0.0,0.0,1,17.0,12.3,5.3,San Juan,315.0,
2025-11-06 17:00:00,21.1,-17.9,6.0,35.6,1000.9,0.0,0.0,0.0,1,17.0,10.7,2.8,San Juan,310.0,
2025-11-06 18:00:00,20.8,-18.1,6.0,32.4,1000.9,0.0,0.0,0.0,2,22.0,11.0,1.1,San Juan,304.0,
2025-11-06 19:00:00,16.7,-15.1,10.0,31.0,1004.2,0.0,0.0,0.0,1,22.0,7.3,0.5,San Juan,286.0,
2025-11-06 20:00:00,14.2,-10.5,17.0,17.3,1006.7,0.0,0.0,0.0,1,22.0,7.7,0.0,San Juan,236.0,
2025-11-06 21:00:00,11.4,0.2,46.0,15.1,1009.7,0.0,0.0,0.0,2,22.0,6.5,0.0,San Juan,160.0,
2025-11-06 22:00:00,9.7,2.3,60.0,14.8,1012.2,0.0,0.0,0.0,3,22.0,7.6,0.0,San Juan,140.0,
2025-11-06 23:00:00,8.5,1.4,61.0,11.2,1013.0,0.0,0.0,0.0,2,22.0,6.6,0.0,San Juan,132.0,
2025-11-07 00:00:00,8.2,2.2,66.0,11.9,1014.5,0.0,0.0,0.0,1,19.0,6.2,0.0,San Juan,132.0,
2025-11-07 01:00:00,7.7,2.0,67.0,9.7,1015.1,0.0,0.0,0.0,3,19.0,5.9,0.0,San Juan,131.0,
