fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,16.0,10.1,68.0,11.0,1022.0,0.0,0.0,0.0,1,19.0,13.9,0.0,Santa Fe,70.0,20.4
2025-11-06 01:00:00,15.0,8.9,67.0,19.0,1021.0,0.0,0.0,0.0,1,19.0,11.1,0.0,Santa Fe,90.0,22.2
2025-11-06 02:00:00,14.0,9.0,72.0,19.0,1021.0,0.0,0.0,0.0,1,19.0,10.1,0.0,Santa Fe,70.0,22.2
2025-11-06 03:00:00,13.0,9.1,77.0,19.0,1020.0,0.0,0.0,0.0,1,17.0,9.1,0.0,Santa Fe,70.0,22.2
2025-11-06 04:00:00,12.0,9.0,82.0,19.0,1020.0,0.0,0.0,0.0,1,17.0,8.1,0.0,Santa Fe,70.0,22.2
2025-11-06 05:00:00,11.0,9.1,88.0,17.0,1020.0,0.0,0.0,0.0,1,0.8,7.5,0.0,Santa Fe,70.0,22.2
2025-11-06 06:00:00,11.0,9.1,88.0,17.0,1020.0,0.0,0.0,0.0,1,0.8,7.5,0.0,Santa Fe,70.0,20.4
2025-11-06 07:00:00,12.0,8.1,77.0,15.0,1020.0,0.0,0.0,0.0,2,17.0,8.6,0.6,Santa Fe,70.0,24.1
2025-11-06 08:00:00,12.0,8.1,77.0,19.0,1020.0,0.0,0.0,0.0,2,17.0,7.9,1.5,Santa Fe,50.0,27.8
2025-11-06 09:00:00,14.0,9.0,72.0,19.0,1020.0,0.0,0.0,0.0,2,19.0,10.1,3.1,Santa Fe,50.0,29.6
2025-11-06 10:00:00,15.0,8.9,67.0,19.0,1019.0,0.0,0.0,0.0,2,19.0,11.1,5.5,Santa Fe,60.0,31.5
2025-11-06 11:00:00,16.0,9.0,63.0,17.0,1019.0,0.0,0.0,0.0,2,22.0,12.5,8.3,Santa Fe,70.0,29.6
2025-11-06 12:00:00,17.0,9.9,63.0,19.0,1017.0,0.0,0.0,0.0,2,22.0,13.3,10.6,Santa Fe,60.0,31.5
2025-11-06 13:00:00,19.0,11.1,60.0,19.0,1017.0,0.0,0.0,0.0,3,22.0,15.6,8.7,Santa Fe,80.0,29.6
2025-11-06 14:00:00,20.0,10.1,53.0,20.0,1016.0,0.0,0.0,0.0,3,22.0,16.2,7.8,Santa Fe,50.0,29.6
2025-11-06 15:00:00,21.0,9.9,49.0,24.0,1014.0,0.0,0.0,0.0,3,22.0,16.3,5.9,Santa Fe,50.0,29.6
2025-11-06 16:00:00,20.0,10.1,53.0,20.0,1013.0,0.0,0.0,0.0,25,22.0,16.2,3.2,Santa Fe,70.0,31.5
2025-11-06 17:00:00,20.0,10.1,53.0,20.0,1012.0,0.2,0.0,0.0,3,5.8,16.2,2.0,Santa Fe,70.0,29.6
2025-11-06 18:00:00,20.0,9.0,49.0,20.0,1012.0,0.0,0.0,0.0,3,22.0,15.9,0.9,Santa Fe,60.0,29.6
2025-11-06 19:00:00,19.0,8.9,52.0,19.0,1011.0,0.0,0.0,0.0,4,0.5,15.1,0.2,Santa Fe,70.0,29.6
2025-11-06 20:00:00,19.0,8.0,49.0,20.0,1011.0,0.0,0.0,0.0,25,22.0,14.7,0.0,Santa Fe,80.0,29.6
2025-11-06 21:00:00,18.0,9.1,56.0,15.0,1011.0,0.2,0.0,0.0,7,5.8,14.9,0.0,Santa Fe,50.0,31.5
2025-11-06 22:00:00,17.0,9.9,63.0,13.0,1011.0,0.2,0.0,0.0,25,5.8,14.5,0.0,Santa Fe,70.0,31.5
2025-11-06 23:00:00,16.0,11.0,72.0,22.0,1010.0,0.3,0.0,0.0,18,5.7,12.0,0.0,Santa Fe,90.0,29.6
2025-11-07 00:00:00,16.0,10.1,68.0,15.0,1011.0,1.0,0.0,0.0,18,5.0,13.2,0.0,Santa Fe,90.0,27.8
