fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,17.8,12.3,70.0,16.2,1020.0,0.0,0.0,0.0,2,19.0,15.3,0.0,Santiago del Estero,110.0,
2025-11-06 01:00:00,18.0,11.8,67.0,19.1,1019.3,0.0,0.0,0.0,3,19.0,14.8,0.0,Santiago del Estero,106.0,
2025-11-06 02:00:00,17.8,11.8,68.0,18.0,1018.4,0.0,0.0,0.0,3,19.0,14.9,0.0,Santiago del Estero,110.0,
2025-11-06 03:00:00,17.4,12.1,71.0,15.5,1017.6,0.0,0.0,0.0,3,19.0,15.0,0.0,Santiago del Estero,117.0,
2025-11-06 04:00:00,15.6,13.4,87.0,15.1,1016.9,0.0,0.0,0.0,3,2.0,13.7,0.0,Santiago del Estero,127.0,
2025-11-06 05:00:00,15.6,13.4,87.0,13.0,1016.5,0.0,0.0,0.0,3,2.0,14.1,0.0,Santiago del Estero,119.0,
2025-11-06 06:00:00,15.5,13.5,88.0,14.8,1016.3,0.0,0.0,0.0,3,2.0,13.7,0.0,Santiago del Estero,108.0,
2025-11-06 07:00:00,15.6,13.1,85.0,14.0,1016.2,0.0,0.0,0.0,3,2.0,13.8,0.4,Santiago del Estero,109.0,
2025-11-06 08:00:00,16.4,12.6,78.0,15.8,1016.4,0.0,0.0,0.0,3,17.0,14.1,1.1,Santiago del Estero,95.0,
2025-11-06 09:00:00,17.0,12.1,73.0,18.4,1016.1,0.0,0.0,0.0,3,19.0,14.1,2.4,Santiago del Estero,77.0,
2025-11-06 10:00:00,17.7,11.9,69.0,19.8,1015.6,0.0,0.0,0.0,3,19.0,14.5,4.3,Santiago del Estero,68.0,
2025-11-06 11:00:00,18.9,11.7,63.0,19.1,1014.6,0.0,0.0,0.0,3,22.0,15.7,6.5,Santiago del Estero,72.0,
2025-11-06 12:00:00,19.5,11.5,60.0,24.1,1013.4,0.0,0.0,0.0,3,22.0,15.3,8.2,Santiago del Estero,64.0,
2025-11-06 13:00:00,21.8,11.2,51.0,26.6,1011.5,0.0,0.0,0.0,3,22.0,17.0,8.7,Santiago del Estero,60.0,
2025-11-06 14:00:00,23.0,11.4,48.0,28.1,1009.8,0.0,0.0,0.0,3,22.0,18.0,7.8,Santiago del Estero,58.0,
2025-11-06 15:00:00,21.1,12.0,56.0,24.8,1008.5,0.0,0.0,0.0,3,22.0,16.9,5.9,Santiago del Estero,68.0,
2025-11-06 16:00:00,20.2,12.7,62.0,24.5,1007.4,0.2,0.0,0.0,7,5.8,16.3,3.4,Santiago del Estero,85.0,
2025-11-06 17:00:00,20.3,12.0,59.0,26.6,1006.5,0.0,0.0,0.0,3,22.0,15.8,2.0,Santiago del Estero,92.0,
2025-11-06 18:00:00,20.0,11.7,59.0,25.2,1006.4,0.0,0.0,0.0,3,22.0,15.6,0.9,Santiago del Estero,113.0,
2025-11-06 19:00:00,17.8,14.9,83.0,19.4,1007.0,0.0,0.0,0.0,3,2.0,15.6,0.3,Santiago del Estero,154.0,
2025-11-06 20:00:00,16.4,15.1,92.0,22.3,1007.8,4.8,0.0,0.0,9,1.2,13.7,0.0,Santiago del Estero,149.0,
2025-11-06 21:00:00,15.8,14.7,93.0,16.9,1008.0,3.8,0.0,0.0,9,2.2,14.0,0.0,Santiago del Estero,165.0,
2025-11-06 22:00:00,15.6,14.8,95.0,16.9,1008.6,6.3,0.0,0.0,9,0.3,13.9,0.0,Santiago del Estero,196.0,
2025-11-06 23:00:00,15.5,14.7,95.0,21.6,1008.3,4.0,0.0,0.0,18,2.0,12.8,0.0,Santiago del Estero,164.0,
2025-11-07 00:00:00,15.8,15.3,97.0,18.7,1007.9,0.5,0.0,0.0,8,5.5,13.9,0.0,Santiago del Estero,177.0,
2025-11-07 01:00:00,15.2,14.6,96.0,20.9,1008.0,10.1,0.0,0.0,9,0.3,12.6,0.0,Santiago del Estero,134.0,
2025-11-07 02:00:00,14.2,13.6,96.0,19.4,1007.8,14.6,0.0,0.0,9,0.3,11.5,0.0,Santiago del Estero,125.0,
2025-11-07 03:00:00,14.1,13.6,97.0,17.3,1006.7,1.9,0.0,0.0,9,4.1,11.9,0.0,Santiago del Estero,166.0,
2025-11-07 04:00:00,14.0,13.8,99.0,24.1,1006.7,1.5,0.0,0.0,9,4.5,10.5,0.0,Santiago del Estero,156.0,
2025-11-07 05:00:00,14.0,13.8,99.0,19.8,1007.2,3.0,0.0,0.0,9,3.0,11.4,0.0,Santiago del Estero,168.0,
2025-11-07 06:00:00,14.1,13.9,99.0,14.0,1008.5,0.5,0.0,0.0,8,5.5,12.6,0.0,Santiago del Estero,173.0,
2025-11-07 07:00:00,14.2,13.9,98.0,15.1,1010.0,1.6,0.0,0.0,9,4.4,12.5,0.3,Santiago del Estero,174.0,
2025-11-07 08:00:00,14.7,14.1,96.0,12.2,1010.2,0.7,0.0,0.0,8,5.3,13.6,0.9,Santiago del Estero,113.0,
2025-11-07 09:00:00,15.7,13.7,88.0,7.6,1011.0,0.5,0.0,0.0,8,5.5,15.4,1.9,Santiago del Estero,122.0,
2025-11-07 10:00:00,17.5,13.2,76.0,4.3,1010.6,0.0,0.0,0.0,3,17.0,17.7,4.3,Santiago del Estero,115.0,
2025-11-07 11:00:00,18.1,13.4,74.0,16.9,1010.4,0.3,0.0,0.0,8,5.7,15.9,5.1,Santiago del Estero,334.0,
2025-11-07 12:00:00,18.7,12.4,67.0,30.6,1010.6,0.5,0.0,0.0,8,5.5,13.5,6.4,Santiago del Estero,257.0,
2025-11-07 13:00:00,22.6,9.7,44.0,35.6,1009.4,0.0,0.0,0.0,3,17.0,15.6,8.7,Santiago del Estero,238.0,
2025-11-07 14:00:00,24.3,8.3,36.0,39.6,1008.0,0.0,0.0,0.0,2,17.0,16.2,10.0,Santiago del Estero,241.0,
2025-11-07 15:00:00,21.2,11.2,53.0,42.8,1009.0,0.0,0.0,0.0,3,17.0,13.3,5.9,Santiago del Estero,200.0,
2025-11-07 16:00:00,19.5,11.8,61.0,43.2,1010.5,0.0,0.0,0.0,1,17.0,11.7,5.3,Santiago del Estero,192.0,
2025-11-07 17:00:00,17.1,12.2,73.0,37.4,1012.3,0.0,0.0,0.0,2,14.0,10.5,2.5,Santiago del Estero,174.0,
2025-11-07 18:00:00,16.2,11.4,73.0,33.8,1012.8,0.0,0.0,0.0,3,19.0,10.1,0.9,Santiago del Estero,168.0,
2025-11-07 19:00:00,15.5,10.7,73.0,31.0,1013.2,0.0,0.0,0.0,3,19.0,9.7,0.3,Santiago del Estero,166.0,
2025-11-07 20:00:00,14.9,9.5,70.0,24.5,1014.1,0.0,0.0,0.0,2,19.0,10.0,0.0,Santiago del Estero,164.0,
2025-11-07 21:00:00,14.5,9.1,70.0,22.3,1015.4,0.0,0.0,0.0,2,19.0,10.0,0.0,Santiago del Estero,168.0,
2025-11-07 22:00:00,13.8,9.2,74.0,19.1,1016.7,0.0,0.0,0.0,2,19.0,9.9,0.0,Santiago del Estero,173.0,
2025-11-07 23:00:00,13.2,9.4,78.0,19.1,1017.9,0.0,0.0,0.0,2,17.0,9.4,0.0,Santiago del Estero,182.0,
2025-11-08 00:00:00,12.5,9.7,83.0,19.4,1018.8,0.0,0.0,0.0,2,2.0,8.7,0.0,Santiago del Estero,195.0,
2025-11-08 01:00:00,11.4,9.1,86.0,17.6,1019.2,0.0,0.0,0.0,2,2.0,7.8,0.0,Santiago del Estero,211.0,
2025-11-08 02:00:00,11.1,9.2,88.0,15.8,1019.1,0.0,0.0,0.0,2,0.8,7.9,0.0,Santiago del Estero,202.0,
2025-11-08 03:00:00,10.5,9.1,91.0,14.4,1018.8,0.0,0.0,0.0,2,0.8,7.5,0.0,Santiago del Estero,204.0,
2025-11-08 04:00:00,9.9,9.0,94.0,13.7,1018.7,0.0,0.0,0.0,1,0.4,8.0,0.0,Santiago del Estero,212.0,
2025-11-08 05:00:00,9.5,8.6,94.0,11.9,1018.7,0.0,0.0,0.0,1,0.4,7.7,0.0,Santiago del Estero,222.0,
2025-11-08 06:00:00,9.1,8.3,95.0,10.8,1018.9,0.0,0.0,0.0,1,0.4,7.4,0.0,Santiago del Estero,213.0,
2025-11-08 07:00:00,9.9,8.8,93.0,10.8,1019.6,0.0,0.0,0.0,1,0.8,8.4,0.6,Santiago del Estero,219.0,
2025-11-08 08:00:00,12.0,9.2,83.0,14.4,1020.1,0.0,0.0,0.0,1,2.0,9.0,1.6,Santiago del Estero,176.0,
2025-11-08 09:00:00,13.7,8.9,73.0,13.3,1020.5,0.0,0.0,0.0,1,19.0,10.9,3.4,Santiago del Estero,155.0,
2025-11-08 10:00:00,15.2,8.9,66.0,13.7,1020.4,0.0,0.0,0.0,1,19.0,12.3,6.1,Santiago del Estero,143.0,
2025-11-08 11:00:00,16.9,8.3,57.0,15.5,1020.5,0.0,0.0,0.0,1,22.0,13.5,9.3,Santiago del Estero,131.0,
2025-11-08 12:00:00,17.3,8.4,56.0,13.3,1020.2,0.0,0.0,0.0,3,22.0,14.4,8.2,Santiago del Estero,126.0,
2025-11-08 13:00:00,18.0,8.3,53.0,12.6,1019.5,0.0,0.0,0.0,3,22.0,15.2,8.7,Santiago del Estero,122.0,
