fecha_hora,temp,dwpt,rhum,wspd,pres,prcp,snow,tsun,coco,visibilidad,sensacionTermica,uvIndex,province,wdir,wpgt
2025-11-06 00:00:00,22.0,15.1,65.0,11.0,1018.0,0.0,0.0,0.0,3,22.0,21.5,0.0,Tucumán,360.0,
2025-11-06 01:00:00,21.0,16.0,73.0,6.0,1017.0,0.0,0.0,0.0,3,19.0,21.8,0.0,Tucumán,20.0,
2025-11-06 02:00:00,20.0,17.0,83.0,7.0,1017.0,0.0,0.0,0.0,3,17.0,21.0,0.0,Tucumán,50.0,
2025-11-06 03:00:00,20.0,16.0,78.0,7.0,1016.0,0.0,0.0,0.0,3,17.0,20.6,0.0,Tucumán,70.0,
2025-11-06 04:00:00,20.0,16.0,78.0,11.0,1015.0,0.0,0.0,0.0,3,17.0,19.9,0.0,Tucumán,70.0,
2025-11-06 05:00:00,19.0,16.0,83.0,4.0,1014.0,0.0,0.0,0.0,3,17.0,20.2,0.0,Tucumán,68.0,
2025-11-06 06:00:00,20.0,15.0,73.0,11.0,1014.0,0.0,0.0,0.0,3,19.0,19.5,0.0,Tucumán,50.0,
2025-11-06 07:00:00,20.0,15.0,73.0,17.0,1014.0,0.0,0.0,0.0,3,19.0,18.3,0.4,Tucumán,50.0,
2025-11-06 08:00:00,20.0,15.0,73.0,17.0,1014.0,0.0,0.0,0.0,3,19.0,18.3,1.1,Tucumán,70.0,
2025-11-06 09:00:00,21.0,16.0,73.0,20.0,1013.0,0.0,0.0,0.0,3,19.0,19.1,2.4,Tucumán,60.0,
2025-11-06 10:00:00,23.0,16.1,65.0,22.0,1013.0,0.0,0.0,0.0,3,22.0,20.7,4.3,Tucumán,50.0,
2025-11-06 11:00:00,24.0,16.0,61.0,17.0,1012.0,0.0,0.0,0.0,3,22.0,22.7,6.5,Tucumán,70.0,
2025-11-06 12:00:00,24.0,16.0,61.0,22.0,1010.0,0.0,0.0,0.0,3,22.0,21.7,8.2,Tucumán,80.0,
2025-11-06 13:00:00,25.0,16.9,61.0,22.0,1009.0,0.0,0.0,0.0,3,22.0,23.1,8.7,Tucumán,80.0,
2025-11-06 14:00:00,25.0,15.9,57.0,22.0,1007.0,0.0,0.0,0.0,3,22.0,22.7,7.8,Tucumán,40.0,
2025-11-06 15:00:00,22.0,16.9,73.0,20.0,1006.0,0.0,0.0,0.0,3,19.0,20.5,5.9,Tucumán,250.0,
2025-11-06 16:00:00,22.0,16.9,73.0,15.0,1004.0,0.0,0.0,0.0,3,19.0,21.4,3.7,Tucumán,230.0,
2025-11-06 17:00:00,20.0,17.0,83.0,13.0,1004.0,0.0,0.0,0.0,3,17.0,19.9,2.0,Tucumán,230.0,
2025-11-06 18:00:00,20.0,16.0,78.0,15.0,1004.0,0.0,0.0,0.0,3,17.0,19.1,0.9,Tucumán,220.0,
2025-11-06 19:00:00,19.0,16.0,83.0,15.0,1004.0,0.0,0.0,0.0,3,17.0,18.1,0.3,Tucumán,200.0,
2025-11-06 20:00:00,19.0,17.0,88.0,13.0,1005.0,0.0,0.0,0.0,3,2.0,18.8,0.0,Tucumán,220.0,
2025-11-06 21:00:00,19.0,17.0,88.0,15.0,1006.0,0.0,0.0,0.0,3,2.0,18.4,0.0,Tucumán,230.0,
2025-11-06 22:00:00,18.0,17.0,94.0,13.0,1006.0,0.0,0.0,0.0,3,0.8,17.9,0.0,Tucumán,240.0,
2025-11-06 23:00:00,18.0,17.0,94.0,15.0,1006.0,0.0,0.0,0.0,3,0.8,17.5,0.0,Tucumán,240.0,
2025-11-07 00:00:00,18.0,17.0,94.0,11.0,1006.0,0.0,0.0,0.0,3,0.8,18.2,0.0,Tucumán,230.0,
2025-11-07 01:00:00,18.0,17.0,94.0,11.0,1005.0,0.0,0.0,0.0,3,0.8,18.2,0.0,Tucumán,220.0,
2025-11-07 02:00:00,18.0,17.0,94.0,13.0,1005.0,0.0,0.0,0.0,3,0.8,17.9,0.0,Tucumán,220.0,
2025-11-07 03:00:00,17.0,17.0,100.0,13.0,1004.0,0.0,0.0,0.0,3,0.2,16.9,0.0,Tucumán,230.0,
2025-11-07 04:00:00,17.0,17.0,100.0,15.0,1005.0,0.0,0.0,0.0,3,0.2,16.5,0.0,Tucumán,230.0,
2025-11-07 05:00:00,17.0,17.0,100.0,20.0,1006.0,0.0,0.0,0.0,7,0.2,15.5,0.0,Tucumán,230.0,
2025-11-07 06:00:00,17.0,17.0,100.0,20.0,1007.0,0.2,0.0,0.0,7,5.8,15.5,0.0,Tucumán,220.0,
2025-11-07 07:00:00,17.0,17.0,100.0,17.0,1009.0,0.8,0.0,0.0,8,5.2,16.1,0.3,Tucumán,220.0,
2025-11-07 08:00:00,18.0,16.0,88.0,15.0,1011.0,0.1,0.0,0.0,7,5.9,17.1,1.0,Tucumán,210.0,20.0
2025-11-07 09:00:00,18.0,14.1,78.0,19.0,1012.0,0.0,0.0,0.0,3,17.0,15.6,2.4,Tucumán,190.0,
2025-11-07 10:00:00,18.0,13.1,73.0,20.0,1013.0,0.0,0.0,0.0,3,19.0,15.1,4.3,Tucumán,180.0,
2025-11-07 11:00:00,19.0,13.0,68.0,15.0,1013.0,0.0,0.0,0.0,3,19.0,17.0,6.5,Tucumán,200.0,
2025-11-07 12:00:00,21.0,11.9,56.0,17.0,1012.0,0.0,0.0,0.0,2,22.0,18.3,10.6,Tucumán,210.0,
2025-11-07 13:00:00,23.0,11.1,47.0,19.0,1012.0,0.0,0.0,0.0,2,22.0,19.7,11.2,Tucumán,200.0,
2025-11-07 14:00:00,25.0,10.8,41.0,19.0,1011.0,0.0,0.0,0.0,1,22.0,21.6,11.2,Tucumán,220.0,
2025-11-07 15:00:00,26.0,11.0,39.0,19.0,1010.0,0.0,0.0,0.0,3,22.0,22.6,5.9,Tucumán,220.0,
2025-11-07 16:00:00,27.0,8.9,32.0,11.0,1010.0,0.0,0.0,0.0,3,22.0,24.6,3.7,Tucumán,230.0,
2025-11-07 17:00:00,28.0,7.8,28.0,19.0,1010.0,0.0,0.0,0.0,3,22.0,23.8,2.0,Tucumán,240.0,
2025-11-07 18:00:00,27.0,9.8,34.0,13.0,1011.0,0.0,0.0,0.0,2,22.0,24.5,1.1,Tucumán,230.0,
