name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance,province,id_estacion
Aeroparque Bs. As. Aerodrome,AR,C,87582,SABE,-34.5667,-58.4167,6.0,America/Argentina/Buenos_Aires,1973-01-01,2025-11-22,1973-01-01,2025-08-24,1973-01-01,2022-01-01,0.0,Buenos Aires,87582
Catamarca Aero.,AR,K,87222,SANC,-28.6,-65.7667,454.0,America/Argentina/Catamarca,1973-07-01,2025-11-22,1973-07-02,2025-08-24,1974-01-01,2021-01-01,0.0,Catamarca,87222
Presidencia Roque Saenz Pena Aero / Presidencia Roque Sáenz Peña,AR,H,87148,,-26.7333,-60.4833,91.0,America/Argentina/Tucuman,2001-09-16,2025-05-09,2001-09-18,2025-08-24,2004-01-01,2021-01-01,0.0,Chaco,87148
Puerto Madryn,AR,U,97789,SAVY,-42.77,-65.1,136.0,America/Argentina/Catamarca,2004-09-13,2025-11-22,,,,,0.0,Chubut,97789
Cordoba / Santa Isabel,AR,X,87347,SACE,-31.45,-64.2667,502.0,America/Argentina/Cordoba,2001-09-27,2025-05-09,,,,,0.0,Córdoba,87347
Resistencia Aero.,AR,H,87155,SARE,-27.45,-59.05,53.0,America/Argentina/Tucuman,1959-01-01,2025-11-22,1960-01-01,2025-08-24,1958-01-01,2021-01-01,0.0,Corrientes,87155
Gualeguaychu Aerodrome,AR,E,87497,SAAG,-33.0,-58.6167,23.0,America/Argentina/Buenos_Aires,1965-03-07,2025-11-22,1965-03-27,2025-08-23,1968-01-01,2021-01-01,0.0,Entre Ríos,87497
Pilar,PY,P,86255,SGPI,-26.85,-58.3167,59.0,America/Asuncion,2009-05-12,2025-11-22,1973-01-17,2025-08-24,1955-01-01,2021-01-01,0.0,Formosa,86255
Jujuy Aerodrome,AR,Y,87046,SASJ,-24.3833,-65.0833,921.0,America/Argentina/Jujuy,1973-01-01,2025-11-22,1973-01-01,2025-08-24,1971-01-01,2022-01-01,0.0,Jujuy,87046
Santa Rosa Aerodrome,AR,L,87623,SAZR,-36.5667,-64.2667,190.0,America/Argentina/San_Luis,1957-06-30,2025-11-22,1951-01-01,2025-08-22,1950-01-01,2021-01-01,0.0,La Pampa,87623
Chilecito Aerodrome,AR,F,87213,,-29.2333,-67.4333,945.0,America/Argentina/La_Rioja,,,1985-04-01,2023-03-15,1989-01-01,2019-01-01,0.0,La Rioja,87213
Mendoza Aerodrome,AR,M,87418,SAME,-32.8333,-68.7833,705.0,America/Argentina/Mendoza,1939-02-01,2025-11-22,1957-06-30,2025-08-24,1949-01-01,2022-01-01,0.0,Mendoza,87418
Posadas Aero.,AR,N,87178,SARP,-27.3667,-55.9667,131.0,America/Argentina/Buenos_Aires,1939-01-01,2025-11-22,1960-01-02,2025-08-23,1950-01-01,2021-01-01,0.0,Misiones,87178
Chapelco,AR,Q,87761,SAZY,-40.0833,-71.1333,779.0,America/Argentina/Mendoza,1981-06-01,2025-11-22,,,,,0.0,Neuquén,87761
Maquinchao,AR,R,87774,,-41.25,-68.7333,888.0,America/Argentina/San_Luis,1957-06-30,2025-05-09,1957-09-01,2025-08-24,1957-01-01,2021-01-01,0.0,Río Negro,87774
Oran Aerodrome,AR,A,87016,SASO,-23.15,-64.3167,357.0,America/Argentina/Jujuy,1960-01-01,2025-05-09,1961-05-01,2025-08-10,1961-01-01,2021-01-01,0.0,Salta,87016
Uspallata,AR,M,87405,SAMU,-32.6,-69.3333,1844.0,America/Argentina/Mendoza,1973-01-01,2025-05-09,,,,,0.0,San Juan,87405
Villa Reynolds Aerodrome,AR,D,87448,SAOR,-33.7333,-65.3833,485.0,America/Argentina/San_Luis,1939-02-01,2025-11-22,1973-01-01,2025-08-24,1971-01-01,2021-01-01,0.0,San Luis,87448
San Julian Aerodrome,AR,Z,87909,SAWJ,-49.3167,-67.75,58.0,America/Argentina/Rio_Gallegos,1973-01-01,2025-05-10,1973-01-01,2025-08-24,1973-01-01,2021-01-01,0.0,Santa Cruz,87909
Rosario Aerodrome,AR,S,87480,SAAR,-32.9167,-60.7833,25.0,America/Argentina/Buenos_Aires,1939-02-01,2025-11-22,1965-03-08,2025-08-23,1950-01-01,2021-01-01,0.0,Santa Fe,87480
Villa De Maria Del Rio Seco,AR,X,87244,SACV,-29.9,-63.6833,341.0,America/Argentina/Cordoba,1973-01-01,2025-05-09,1973-01-01,2025-08-24,1977-01-01,2021-01-01,0.0,Santiago del Estero,87244
Ushuaia Aerodrome,AR,V,87938,SAWH,-54.8,-68.3167,16.0,America/Argentina/Ushuaia,1939-02-01,2025-11-22,1957-06-30,2025-08-24,1950-01-01,2021-01-01,0.0,Tierra del Fuego,87938
Tucuman Aerodrome,AR,T,87121,SANT,-26.85,-65.1,440.0,America/Argentina/Tucuman,1981-11-01,2025-11-22,1981-11-01,2025-08-23,1981-01-01,2021-01-01,0.0,Tucumán,87121
